Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,Gary Harris (32639771),Gary Harris,32639771,SG/G/UTIL,3300,CHI@ORL 02/10/2024 07:00PM ET,ORL,14.29
SG,Furkan Korkmaz (32639778),Furkan Korkmaz,32639778,SG/G/UTIL,3300,IND@NYK 02/10/2024 07:30PM ET,IND,5.69
SF/PF,Jacob Toppin (32639787),Jacob Toppin,32639787,SF/PF/F/UTIL,3300,IND@NYK 02/10/2024 07:30PM ET,NYK,2.38
C,Drew Eubanks (32639769),Drew Eubanks,32639769,C/UTIL,3300,PHX@GSW 02/10/2024 08:30PM ET,PHX,14.41
PF/C,Bol Bol (32639774),Bol Bol,32639774,PF/C/F/UTIL,3300,PHX@GSW 02/10/2024 08:30PM ET,PHX,10.27
PF,Gui Santos (32639791),Gui Santos,32639791,PF/F/UTIL,3300,PHX@GSW 02/10/2024 08:30PM ET,GSW,9.18
SF/PF,Georges Niang (32639802),Georges Niang,32639802,SF/PF/F/UTIL,3200,CLE@TOR 02/10/2024 07:30PM ET,CLE,16.9
SG,Landry Shamet (32639809),Landry Shamet,32639809,SG/G/UTIL,3200,PHI@WAS 02/10/2024 07:00PM ET,WAS,12.94
SF,Matt Hurt (32639806),Matt Hurt,32639806,SF/F/UTIL,3200,MEM@CHA 02/10/2024 07:00PM ET,MEM,10.67
PG/SG,Seth Curry (32639812),Seth Curry,32639812,PG/SG/G/UTIL,3200,MEM@CHA 02/10/2024 07:00PM ET,CHA,9.13
SF/PF,Joe Ingles (32639798),Joe Ingles,32639798,SF/PF/F/UTIL,3200,CHI@ORL 02/10/2024 07:00PM ET,ORL,14.18
PG,Cory Joseph (32639816),Cory Joseph,32639816,PG/G/UTIL,3200,IND@NYK 02/10/2024 07:30PM ET,IND,6.85
SF,Doug McDermott (32639819),Doug McDermott,32639819,SF/F/UTIL,3200,IND@NYK 02/10/2024 07:30PM ET,IND,10.29
PF/C,Dean Wade (32639840),Dean Wade,32639840,PF/C/F/UTIL,3100,CLE@TOR 02/10/2024 07:30PM ET,CLE,15.26
PF/C,Jeff Green (32639834),Jeff Green,32639834,PF/C/F/UTIL,3100,HOU@ATL 02/10/2024 07:30PM ET,HOU,11.14
C,Jock Landale (32639838),Jock Landale,32639838,C/UTIL,3100,HOU@ATL 02/10/2024 07:30PM ET,HOU,6.82
SG,Nate Hinton (32639847),Nate Hinton,32639847,SG/G/UTIL,3100,HOU@ATL 02/10/2024 07:30PM ET,HOU,4.38
PG,Vasilije Micic (32639844),Vasilije Micic,32639844,PG/G/UTIL,3100,MEM@CHA 02/10/2024 07:00PM ET,CHA,8.6
C,Goga Bitadze (32639822),Goga Bitadze,32639822,C/UTIL,3100,CHI@ORL 02/10/2024 07:00PM ET,ORL,19.8
PF,Torrey Craig (32639824),Torrey Craig,32639824,PF/F/UTIL,3100,CHI@ORL 02/10/2024 07:00PM ET,CHI,15.73
C,Isaiah Jackson (32639832),Isaiah Jackson,32639832,C/UTIL,3100,IND@NYK 02/10/2024 07:30PM ET,IND,16.29
SG/SF,Josh Okogie (32639827),Josh Okogie,32639827,SG/SF/F/G/UTIL,3100,PHX@GSW 02/10/2024 08:30PM ET,PHX,12.85
SF/PF,Jalen McDaniels (32639959),Jalen McDaniels,32639959,SF/PF/F/UTIL,3000,CLE@TOR 02/10/2024 07:30PM ET,TOR,6.26
PG,Javon Freeman-Liberty (32639963),Javon Freeman-Liberty,32639963,PG/G/UTIL,3000,CLE@TOR 02/10/2024 07:30PM ET,TOR,1.62
PF/C,Chris Boucher (32639966),Chris Boucher,32639966,PF/C/F/UTIL,3000,CLE@TOR 02/10/2024 07:30PM ET,TOR,13.51
SG,Garrett Temple (32639970),Garrett Temple,32639970,SG/G/UTIL,3000,CLE@TOR 02/10/2024 07:30PM ET,TOR,3.38
PG,Markquis Nowell (32639973),Markquis Nowell,32639973,PG/G/UTIL,3000,CLE@TOR 02/10/2024 07:30PM ET,TOR,9.5
C,Damian Jones (32640075),Damian Jones,32640075,C/UTIL,3000,CLE@TOR 02/10/2024 07:30PM ET,CLE,5.26
PG,Craig Porter Jr. (32640077),Craig Porter Jr.,32640077,PG/G/UTIL,3000,CLE@TOR 02/10/2024 07:30PM ET,CLE,15.23
PF/C,Isaiah Mobley (32640080),Isaiah Mobley,32640080,PF/C/F/UTIL,3000,CLE@TOR 02/10/2024 07:30PM ET,CLE,5.17
SG/SF,Emoni Bates (32640084),Emoni Bates,32640084,SG/SF/F/G/UTIL,3000,CLE@TOR 02/10/2024 07:30PM ET,CLE,4.75
C,Tristan Thompson (32640089),Tristan Thompson,32640089,C/UTIL,3000,CLE@TOR 02/10/2024 07:30PM ET,CLE,11.06
PG,Ty Jerome (32640091),Ty Jerome,32640091,PG/G/UTIL,3000,CLE@TOR 02/10/2024 07:30PM ET,CLE,4.62
PF,Jermaine Samuels (32639850),Jermaine Samuels,32639850,PF/F/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,HOU,3.52
SG,Reggie Bullock Jr. (32639853),Reggie Bullock Jr.,32639853,SG/G/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,HOU,5.87
SG/SF,Wesley Matthews (32639856),Wesley Matthews,32639856,SG/SF/F/G/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,ATL,6.33
PG,Trent Forrest (32639934),Trent Forrest,32639934,PG/G/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,ATL,7.35
PG/SG,Kobe Bufkin (32639937),Kobe Bufkin,32639937,PG/SG/G/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,ATL,3.25
